saison,team_id,spiele,punkte,tore,gegentore,tordifferenz,ppg,platz,aufsteiger,relegation,top3,top6,team
2017/18,2502,34,63,57,44,13,1.8529411764705883,1,1,0,1,1,Fortuna Düsseldorf
2017/18,2458,34,60,61,39,22,1.7647058823529411,2,1,0,1,1,Nürnberg
2017/18,2496,34,56,71,44,27,1.6470588235294117,3,0,1,1,1,Holstein Kiel
2017/18,2459,34,48,51,47,4,1.411764705882353,4,0,0,0,1,Arminia Bielefeld
2017/18,2480,34,48,53,53,0,1.411764705882353,5,0,0,0,1,Jahn Regensburg
2017/18,2448,34,48,37,40,-3,1.411764705882353,6,0,0,0,1,Bochum
2017/18,2467,34,48,52,56,-4,1.411764705882353,7,0,0,0,0,MSV Duisburg
2017/18,2500,34,47,54,46,8,1.3823529411764706,8,0,0,0,0,Union Berlin
2017/18,2579,34,45,47,45,2,1.3235294117647058,9,0,0,0,0,Ingolstadt
2017/18,2520,34,43,47,45,2,1.2647058823529411,10,0,0,0,0,Darmstadt 98
2017/18,2694,34,43,35,33,2,1.2647058823529411,11,0,0,0,0,Sandhausen
2017/18,2495,34,43,35,48,-13,1.2647058823529411,12,0,0,0,0,St. Pauli
2017/18,2658,34,42,50,56,-6,1.2352941176470589,13,0,0,0,0,Heidenheim
2017/18,2478,33,40,41,51,-10,1.2121212121212122,14,0,0,0,0,Dynamo Dresden
2017/18,2469,34,40,37,48,-11,1.1764705882352942,15,0,0,0,0,Greuther Fürth
2017/18,2468,34,40,35,49,-14,1.1764705882352942,16,0,0,0,0,Erzgebirge Aue
2017/18,2493,33,38,36,42,-6,1.1515151515151516,17,0,0,0,0,Eintracht Braunschweig
2017/18,2456,34,35,42,55,-13,1.0294117647058822,18,0,0,0,0,Kaiserslautern
2018/19,2463,34,63,84,47,37,1.8529411764705883,1,1,0,1,1,Köln
2018/19,2491,34,57,76,50,26,1.6764705882352942,2,1,0,1,1,Paderborn
2018/19,2500,34,57,54,33,21,1.6764705882352942,3,0,1,1,1,Union Berlin
2018/19,2450,34,56,45,42,3,1.6470588235294117,4,0,0,0,1,Hamburger SV
2018/19,2658,34,55,55,45,10,1.6176470588235294,5,0,0,0,1,Heidenheim
2018/19,2496,34,49,60,51,9,1.4411764705882353,6,0,0,0,1,Holstein Kiel
2018/19,2459,34,49,52,50,2,1.4411764705882353,7,0,0,0,0,Arminia Bielefeld
2018/19,2480,34,49,55,54,1,1.4411764705882353,8,0,0,0,0,Jahn Regensburg
2018/19,2495,34,49,46,53,-7,1.4411764705882353,9,0,0,0,0,St. Pauli
2018/19,2520,34,46,45,53,-8,1.3529411764705883,10,0,0,0,0,Darmstadt 98
2018/19,2448,34,44,49,50,-1,1.2941176470588236,11,0,0,0,0,Bochum
2018/19,2478,34,42,41,48,-7,1.2352941176470589,12,0,0,0,0,Dynamo Dresden
