kandidat,prinzip,orientierung,n_kohorte,median_z,delta,ci_lo,ci_hi,d_leipzig_werner,d_sturm_ilzer,d_hoffenheim_ilzer,d_schalke_muslic,konsistenz,n_pos,n_test
s_halfreach_zugel,Defensive Struktur,-1,264,0.479,0.269,0.207,0.33,0.105,0.294,0.225,0.466,3/4,3,4
s_opp_prog_zugel,Defensive Struktur,-1,264,0.432,0.212,0.148,0.267,0.126,0.257,0.124,0.305,2/4,2,4
s_opp_deep_zugel,Defensive Struktur,-1,264,0.411,0.176,0.112,0.24,-0.007,0.174,0.098,0.542,2/4,2,4
s_box_zugriff_zugel,Defensive Struktur,-1,264,0.209,0.131,0.057,0.206,0.205,0.133,-0.048,0.395,2/4,2,4
s_aerial_win,Defensive Struktur,1,264,0.111,0.069,-0.0,0.138,-0.027,0.11,0.081,0.01,0/4,0,4
g_counterpress_per_loss,Gegenpressing,1,264,0.229,0.154,0.08,0.226,-0.106,0.228,0.287,-0.058,2/4,2,4
g_rec_per_loss,Gegenpressing,1,264,0.066,0.072,0.002,0.139,0.073,0.131,0.129,-0.221,0/4,0,4
g_counterpress_per_highloss,Gegenpressing,1,264,-0.265,-0.115,-0.184,-0.05,-0.145,-0.136,0.071,-0.333,0/4,0,4
p_deep_per_poss,Progression,1,264,-0.011,0.116,0.049,0.18,0.438,0.07,0.048,0.176,2/4,2,4
p_prog_per_poss,Progression,1,264,-0.118,-0.026,-0.092,0.042,0.175,-0.119,0.153,-0.106,2/4,2,4
p_boxreach_per_half,Progression,1,264,0.081,0.09,0.02,0.162,0.476,0.04,0.03,0.044,1/4,1,4
p_runs_per_poss,Progression,1,264,-0.218,-0.075,-0.147,-0.004,0.561,-0.093,-0.219,-0.372,1/4,1,4
p_halfreach_rate,Progression,1,264,0.215,0.114,0.054,0.176,0.136,0.128,0.115,0.073,0/4,0,4
p_final_third_per_poss,Progression,1,264,-0.126,0.04,-0.027,0.104,0.141,0.04,0.097,-0.048,0/4,0,4
p_through_per_half,Progression,1,264,-0.243,0.018,-0.053,0.087,-0.044,-0.005,0.123,-0.053,0/4,0,4
d_opp_ownhalf_loss_share,RP1 Pressing,1,264,0.496,0.295,0.235,0.363,0.064,0.378,0.257,0.362,3/4,3,4
d_rec_high_per_min,RP1 Pressing,1,264,0.459,0.283,0.216,0.349,-0.008,0.367,0.263,0.353,3/4,3,4
d_opphalf_rec_share,RP1 Pressing,1,264,0.427,0.258,0.196,0.32,-0.002,0.331,0.238,0.339,3/4,3,4
d_pdda,RP1 Pressing,-1,264,0.466,0.233,0.174,0.294,0.074,0.268,0.382,0.169,3/4,3,4
d_rec_high_share,RP1 Pressing,1,264,0.249,0.176,0.11,0.247,0.018,0.253,0.118,0.171,2/4,2,4
d_challenge_int,RP1 Pressing,1,264,0.116,0.155,0.095,0.222,0.018,0.142,0.32,0.133,1/4,1,4
d_defduels_per_oppposs,RP1 Pressing,1,264,-0.167,-0.077,-0.149,-0.013,-0.232,-0.069,0.043,-0.171,0/4,0,4
y_sprint_per_min,RP2 Physik,1,135,0.632,0.41,0.334,0.491,0.261,0.456,0.421,0.502,4/4,4,4
y_hidist_per_min,RP2 Physik,1,135,0.924,0.492,0.4,0.571,0.095,0.646,0.575,0.615,3/4,3,4
y_counthi_per_min,RP2 Physik,1,135,0.886,0.467,0.376,0.554,-0.018,0.573,0.644,0.62,3/4,3,4
y_dist_per_min,RP2 Physik,1,135,0.66,0.361,0.259,0.458,-0.292,0.532,0.57,0.546,3/4,3,4
y_acc_per_min,RP2 Physik,1,135,0.236,0.199,0.112,0.295,0.346,0.057,0.166,0.295,3/4,3,4
y_accdec_per_min,RP2 Physik,1,135,0.198,0.217,0.126,0.304,0.142,0.043,0.238,0.487,2/4,2,4
y_dec_per_min,RP2 Physik,1,135,0.292,0.206,0.113,0.294,-0.077,0.029,0.281,0.629,2/4,2,4
y_maxspeed_top5,RP2 Physik,1,135,0.304,0.159,0.055,0.256,0.427,0.261,-0.042,0.025,2/4,2,4
v_fwd_share,RP3 Vertikalitaet,1,264,0.165,0.175,0.103,0.252,-0.278,0.223,0.175,0.462,3/4,3,4
v_poss_dauer,RP3 Vertikalitaet,-1,264,0.375,0.182,0.116,0.244,-0.196,0.258,0.062,0.444,2/4,2,4
v_back_share,RP3 Vertikalitaet,-1,264,0.312,0.171,0.105,0.244,0.066,0.268,-0.13,0.406,2/4,2,4
v_fwd_attempt_share,RP3 Vertikalitaet,1,264,0.163,0.162,0.097,0.223,-0.325,0.208,0.112,0.554,2/4,2,4
v_prog_share,RP3 Vertikalitaet,1,264,-0.049,0.044,-0.02,0.104,-0.193,0.007,0.062,0.417,1/4,1,4
v_vertical_share,RP3 Vertikalitaet,1,264,-0.247,-0.155,-0.221,-0.083,0.525,-0.255,-0.228,-0.322,1/4,1,4
v_tempo,RP3 Vertikalitaet,1,264,0.227,0.095,0.028,0.155,0.043,0.149,0.143,-0.074,0/4,0,4
v_pass_len,RP3 Vertikalitaet,1,264,-0.215,-0.136,-0.198,-0.07,-0.138,-0.227,-0.073,0.067,0/4,0,4
f_cutback_share,RP4 Fluegel,1,264,0.017,0.055,-0.018,0.13,0.413,0.071,-0.082,-0.123,1/4,1,4
f_touchbox_per_boxreach,RP4 Fluegel,1,264,0.004,0.054,-0.011,0.114,0.198,0.054,0.013,0.002,1/4,1,4
