kpi,lambda,rmse_rollierend,sd_roh,erklaerte_streuung
O1_vertikalitaet,2.0,0.04167,0.04858,0.264
O2_boxzugang,10.0,0.06139,0.0732,0.297
O3_fluegel_boxzuspiel,10.0,0.02543,0.02783,0.165
OT1_konterrate,50.0,0.02492,0.02251,-0.226
OT2_tiefenertrag,5.0,0.04277,0.04889,0.235
OT3_ballgewinnqualitaet,50.0,0.02686,0.02789,0.073
D1_pressingdruck,5.0,4.17369,5.07484,0.324
D2_ballgewinnhoehe,10.0,0.10163,0.10851,0.123
D3_gegner_progression,10.0,0.11487,0.13025,0.222
DT1_gegenpressing,10.0,0.07187,0.07646,0.117
DT2_gefaehrl_verluste,50.0,0.02604,0.02758,0.109
DT3_hohe_verluste,20.0,0.08576,0.09595,0.201
P1_laufvolumen_hi,5.0,23.88098,27.36808,0.239
P2_explosivitaet,2.0,0.86458,1.18541,0.468
P3_endgeschwindigkeit,10.0,0.64791,0.68007,0.092
CC1_npxg,10.0,0.7129,0.77978,0.164
CC2_box_zugriffsrate,5.0,0.03881,0.05036,0.406
CC3_abschlussqualitaet,50.0,0.04839,0.05185,0.129
CC1d_npxg_gegen,10.0,0.7129,0.77978,0.164
CC2d_box_zugriffsrate_gegen,5.0,0.03881,0.05036,0.406
CC3d_abschlussqualitaet_gegen,50.0,0.04839,0.05185,0.129
