,O1_vertikalitaet,O2_boxzugang,O3_fluegel_boxzuspiel,OT1_konterrate,OT2_tiefenertrag,OT3_ballgewinnqualitaet,D1_pressingdruck,D2_ballgewinnhoehe,D3_gegner_progression,DT1_gegenpressing,DT2_gefaehrl_verluste,DT3_hohe_verluste,P1_laufvolumen_hi,P2_explosivitaet,P3_endgeschwindigkeit
O1_vertikalitaet,1.0,-0.052,-0.207,0.084,-0.237,-0.082,-0.099,-0.029,-0.198,-0.07,-0.073,-0.22,0.225,0.157,-0.007
O2_boxzugang,-0.052,1.0,0.377,0.165,0.537,0.37,0.127,0.254,0.141,0.158,0.077,0.18,0.095,0.06,0.091
O3_fluegel_boxzuspiel,-0.207,0.377,1.0,-0.075,0.27,0.303,0.222,0.363,0.287,0.273,0.191,0.426,-0.009,0.006,0.003
OT1_konterrate,0.084,0.165,-0.075,1.0,0.044,0.018,-0.094,-0.118,-0.123,-0.102,-0.076,-0.143,0.062,-0.007,0.081
OT2_tiefenertrag,-0.237,0.537,0.27,0.044,1.0,0.36,0.206,0.28,0.28,0.129,0.16,0.41,-0.028,-0.01,0.066
OT3_ballgewinnqualitaet,-0.082,0.37,0.303,0.018,0.36,1.0,0.151,0.418,0.212,0.187,0.137,0.307,0.03,0.026,0.036
D1_pressingdruck,-0.099,0.127,0.222,-0.094,0.206,0.151,1.0,0.446,0.579,0.466,0.222,0.361,0.265,0.216,0.083
D2_ballgewinnhoehe,-0.029,0.254,0.363,-0.118,0.28,0.418,0.446,1.0,0.458,0.503,0.271,0.559,0.204,0.187,0.061
D3_gegner_progression,-0.198,0.141,0.287,-0.123,0.28,0.212,0.579,0.458,1.0,0.415,0.286,0.459,0.202,0.161,0.1
DT1_gegenpressing,-0.07,0.158,0.273,-0.102,0.129,0.187,0.466,0.503,0.415,1.0,0.213,0.279,0.17,0.159,0.058
DT2_gefaehrl_verluste,-0.073,0.077,0.191,-0.076,0.16,0.137,0.222,0.271,0.286,0.213,1.0,0.431,0.018,0.02,0.001
DT3_hohe_verluste,-0.22,0.18,0.426,-0.143,0.41,0.307,0.361,0.559,0.459,0.279,0.431,1.0,0.022,0.013,0.071
P1_laufvolumen_hi,0.225,0.095,-0.009,0.062,-0.028,0.03,0.265,0.204,0.202,0.17,0.018,0.022,1.0,0.53,0.332
P2_explosivitaet,0.157,0.06,0.006,-0.007,-0.01,0.026,0.216,0.187,0.161,0.159,0.02,0.013,0.53,1.0,0.353
P3_endgeschwindigkeit,-0.007,0.091,0.003,0.081,0.066,0.036,0.083,0.061,0.1,0.058,0.001,0.071,0.332,0.353,1.0
