kpi,phase,form,n_kohorte,n_ligarest,median_kohorte_z,delta_gesamt,g_gesamt,delta_ci_lo,delta_ci_hi,delta_leipzig_werner,delta_sturm_ilzer,delta_hoffenheim_ilzer,delta_schalke_muslic,konsistenz,delta_ohne_leipzig,urteil
O1_vertikalitaet,Offensiv,band,264,8356,0.1651,0.1749,0.3152,0.1045,0.2452,-0.2777,0.2228,0.1755,0.4619,3/4,0.2408,stark (>=3/4 Referenzen)
O2_boxzugang,Offensiv,up,264,8356,0.0815,0.0903,0.1538,0.0207,0.1576,0.4763,0.04,0.03,0.044,1/4,0.0367,"schwach - Datengrenze, siehe Limitation"
O3_fluegel_boxzuspiel,Offensiv,up,264,8356,-0.118,-0.0015,-0.0262,-0.0689,0.064,0.0287,-0.032,0.1616,-0.153,1/4,-0.0039,normativ gesetzt (keine Vorbild-Evidenz)
OT1_konterrate,Offensives Umschalten,band,264,8356,-0.1552,0.0169,-0.0163,-0.0523,0.0832,0.0179,0.0538,-0.0952,-0.1207,0/4,0.02,"schwach - Datengrenze, siehe Limitation"
OT2_tiefenertrag,Offensives Umschalten,up,264,8356,-0.0821,0.0977,0.1349,0.0287,0.1656,0.4756,0.0515,0.0072,0.134,1/4,0.0484,"schwach - Datengrenze, siehe Limitation"
OT3_ballgewinnqualitaet,Offensives Umschalten,up,264,8354,0.0673,0.1493,0.2444,0.0801,0.2146,0.1416,0.2099,0.0301,0.1468,1/4,0.1512,"schwach - Datengrenze, siehe Limitation"
D1_pressingdruck,Defensiv,band,264,8356,0.4658,0.2331,0.39,0.1719,0.2938,0.0742,0.2682,0.3825,0.1695,3/4,0.2598,stark (>=3/4 Referenzen)
D2_ballgewinnhoehe,Defensiv,up,264,8354,0.4592,0.2834,0.5217,0.2078,0.3486,-0.0075,0.3667,0.2631,0.353,3/4,0.3283,stark (>=3/4 Referenzen)
D3_gegner_progression,Defensiv,up,264,8356,0.432,0.2118,0.3769,0.1479,0.2756,0.1256,0.2574,0.1241,0.3053,2/4,0.226,gemischt (2/4 Referenzen)
DT1_gegenpressing,Defensives Umschalten,up,264,8354,0.2294,0.1539,0.2539,0.0815,0.2199,-0.1059,0.2277,0.2874,-0.0583,2/4,0.1926,gemischt (2/4 Referenzen)
DT2_gefaehrl_verluste,Defensives Umschalten,up,264,8354,0.4184,0.1558,0.2735,0.085,0.2257,0.1003,0.1106,0.0962,0.5431,1/4,0.1659,"schwach - Datengrenze, siehe Limitation"
DT3_hohe_verluste,Defensives Umschalten,up,264,8356,0.4448,0.2706,0.454,0.2104,0.3324,0.0651,0.3666,0.1955,0.2988,3/4,0.3028,stark (>=3/4 Referenzen)
P1_laufvolumen_hi,Physisch,band,135,2538,0.9237,0.4916,0.9917,0.4033,0.5737,0.0954,0.6455,0.5754,0.6152,3/4,0.6013,stark (>=3/4 Referenzen)
P2_explosivitaet,Physisch,band,135,2538,0.2358,0.1989,0.2996,0.1059,0.2926,0.3458,0.0571,0.1664,0.295,3/4,0.1603,stark (>=3/4 Referenzen)
P3_endgeschwindigkeit,Physisch,up,135,2538,0.3039,0.1587,0.2858,0.0545,0.2532,0.4272,0.2613,-0.0421,0.0248,2/4,0.0927,gemischt (2/4 Referenzen)
